===== TRADE LOG DETAIL =====

Action  Symbol   Date              Price     Quantity        Value (VND)          PnL (VND)      PnL%%
SELL    HDB      2024-02-01        13.45        10848        145,905,593          3,254,402      2.28%
BUY     HDB      2024-02-28        14.32        10189        145,906,484                  0      0.00%
SELL    HDB      2024-03-29        14.87        10189        151,510,421          5,603,952      3.84%
BUY     HDB      2024-04-08        14.75        10272        151,512,000                  0      0.00%
SELL    HDB      2024-05-08        14.87        10272        152,744,640          1,232,638      0.81%
BUY     HDB      2024-06-03        14.81        10313        152,735,531                  0      0.00%
SELL    HDB      2024-07-10        15.40        10313        158,820,203          6,084,661      3.98%
BUY     HDB      2024-08-09        16.39         9690        158,819,093                  0      0.00%
SELL    HDB      2024-08-20        17.22         9690        166,861,796          8,042,699      5.06%
BUY     HDB      2024-09-13        16.96         9839        166,869,437                  0      0.00%
SELL    HDB      2024-10-01        17.99         9839        177,003,609         10,134,177      6.07%
BUY     HDB      2024-10-10        17.64        10034        176,999,750                  0      0.00%
SELL    HDB      2024-12-13        18.28        10034        183,421,531          6,421,773      3.63%
BUY     HDB      2025-01-15        16.69        10990        183,423,109                  0      0.00%
SELL    HDB      2025-02-10        17.43        10990        191,555,703          8,132,597      4.43%
BUY     HDB      2025-04-01        17.31        11066        191,552,453                  0      0.00%
SELL    HDB      2025-05-05        16.35        11066        180,929,109        -10,623,350     -5.55%
BUY     HDB      2025-06-06        16.81        10763        180,926,031                  0      0.00%
SELL    HDB      2025-06-23        16.93        10763        182,217,593          1,291,569      0.71%
BUY     HDB      2025-09-16        24.14         7549        182,232,859                  0      0.00%
SELL    HDB      2025-10-17        25.06         7549        189,177,937          6,945,080      3.81%
BUY     HDB      2025-10-28        24.83         7618        189,154,937                  0      0.00%
BUY     HDB      2025-11-12        23.13            1             23,129                  0      0.00%
SELL    HDB      2025-11-28        24.68         7618        188,012,250         -1,142,697     -0.60%
SELL    HDB      2025-12-01        24.29            1             24,290              1,160      5.02%
BUY     HDB      2025-12-16        24.75         7597        188,025,750                  0      0.00%
SELL    HDB      2025-12-25        27.55         7597        209,297,343         21,271,594     11.31%
BUY     HPG      2023-02-14        15.61         6406         99,997,656                  0      0.00%
SELL    HPG      2023-02-22        16.06         6406        102,880,359          2,882,698      2.88%
BUY     HPG      2023-03-01        15.83         6499        102,879,171                  0      0.00%
SELL    HPG      2023-03-13        15.98         6499        103,854,015            974,847      0.95%
BUY     HPG      2023-03-21        15.49         6704        103,844,960                  0      0.00%
SELL    HPG      2023-04-07        16.06         6704        107,666,234          3,821,277      3.68%
BUY     HPG      2023-04-17        15.79         6819        107,672,007                  0      0.00%
SELL    HPG      2023-05-04        16.14         6819        110,058,656          2,386,646      2.22%
BUY     HPG      2023-05-29        16.25         6773        110,061,250                  0      0.00%
SELL    HPG      2023-06-14        17.50         6773        118,527,500          8,466,250      7.69%
BUY     HPG      2023-07-20        21.36         5549        118,526,640                  0      0.00%
SELL    HPG      2023-09-11        21.21         5549        117,694,281           -832,358     -0.70%
BUY     HPG      2023-09-19        21.33         5518        117,698,937                  0      0.00%
SELL    HPG      2023-11-10        20.08         5518        110,801,437         -6,897,500     -5.86%
BUY     HPG      2023-11-28        20.23         5477        110,799,710                  0      0.00%
SELL    HPG      2023-12-11        20.83         5477        114,085,906          3,286,202      2.97%
BUY     HPG      2023-12-19        20.61         5535        114,076,351                  0      0.00%
SELL    HPG      2024-01-02        20.79         5535        115,072,656            996,301      0.87%
BUY     HPG      2024-01-16        21.06         5464        115,071,835                  0      0.00%
SELL    HPG      2024-01-25        21.40         5464        116,929,601          1,857,760      1.61%
BUY     HPG      2024-02-05        21.21         5513        116,930,726                  0      0.00%
SELL    HPG      2024-02-21        21.82         5513        120,293,656          3,362,933      2.88%
BUY     HPG      2024-03-13        23.33         5156        120,289,476                  0      0.00%
SELL    HPG      2024-05-13        22.88         5156        117,969,273         -2,320,203     -1.93%
BUY     HPG      2024-06-03        24.17         4881        117,973,773                  0      0.00%
SELL    HPG      2024-08-27        21.46         4881        104,746,257        -13,227,515    -11.21%
BUY     HPG      2024-10-28        22.29         4699        104,740,710                  0      0.00%
SELL    HPG      2024-11-13        22.54         4699        105,915,460          1,174,750      1.12%
BUY     HPG      2024-11-21        21.54         4917        105,912,187                  0      0.00%
SELL    HPG      2024-12-04        22.25         4917        109,403,250          3,491,065      3.30%
BUY     HPG      2024-12-23        22.50         4863        109,417,500                  0      0.00%
SELL    HPG      2025-01-22        21.79         4863        105,964,773         -3,452,725     -3.16%
BUY     HPG      2025-02-14        21.75         4872        105,966,000                  0      0.00%
SELL    HPG      2025-02-28        23.33         4872        113,663,757          7,697,760      7.26%
BUY     HPG      2025-03-25        22.67         5014        113,667,382                  0      0.00%
SELL    HPG      2025-04-21        20.79         5014        104,241,062         -9,426,315     -8.29%
BUY     HPG      2025-08-04        25.30         4120        104,236,000                  0      0.00%
SELL    HPG      2025-08-13        28.10         4120        115,772,000         11,536,005     11.07%
BUY     HPG      2025-08-26        27.20         4256        115,763,203                  0      0.00%
SELL    HPG      2025-09-09        28.85         4256        122,785,601          7,022,398      6.07%
BUY     HPG      2025-09-24        29.05         4227        122,794,343                  0      0.00%
SELL    HPG      2025-10-13        29.00         4227        122,583,000           -211,346     -0.17%
BUY     HPG      2025-10-24        26.40         4643        122,575,195                  0      0.00%
SELL    HPG      2025-11-20        27.25         4643        126,521,750          3,946,551      3.22%
BUY     HPG      2025-12-03        26.80         4721        126,522,796                  0      0.00%
SELL    HPG      2025-12-08        26.75         4721        126,286,750           -236,046     -0.19%
BUY     HPG      2025-12-16        26.70         4730        126,291,000                  0      0.00%
SELL    HPG      2025-12-24        26.55         4730        125,581,500           -709,507     -0.56%
BUY     LPB      2023-02-08         8.61        11614         99,996,539                  0      0.00%
SELL    LPB      2023-02-22         8.74        11614        101,506,359          1,509,821      1.51%
BUY     LPB      2023-03-01         8.86        11457        101,509,015                  0      0.00%
SELL    LPB      2023-03-14         9.08        11457        104,029,562          2,520,543      2.48%
BUY     LPB      2023-04-14         9.17        11344        104,024,484                  0      0.00%
SELL    LPB      2023-05-17         8.55        11344         96,991,203         -7,033,279     -6.76%
BUY     LPB      2023-06-20         9.20        10543         96,995,601                  0      0.00%
SELL    LPB      2023-06-27         9.45        10543         99,631,351          2,635,750      2.72%
BUY     LPB      2023-07-03         9.48        10509         99,625,312                  0      0.00%
SELL    LPB      2023-07-12         9.73        10509        102,252,562          2,627,250      2.64%
BUY     LPB      2023-08-01        10.22        10005        102,251,101                  0      0.00%
SELL    LPB      2023-08-10        11.52        10005        115,257,601         13,006,502     12.72%
BUY     LPB      2023-09-28        10.85        10623        115,259,554                  0      0.00%
SELL    LPB      2023-10-17        11.17        10623        118,658,914          3,399,356      2.95%
BUY     LPB      2023-11-21        12.44         9539        118,665,156                  0      0.00%
SELL    LPB      2023-12-12        12.80         9539        122,099,203          3,434,046      2.89%
BUY     LPB      2023-12-22        12.44         9815        122,098,593                  0      0.00%
SELL    LPB      2024-01-09        13.12         9815        128,772,796          6,674,203      5.47%
BUY     LPB      2024-02-28        13.80         9331        128,767,804                  0      0.00%
SELL    LPB      2024-04-03        13.76         9331        128,394,562           -373,239     -0.29%
BUY     LPB      2024-05-15        16.43         7815        128,400,453                  0      0.00%
SELL    LPB      2024-05-23        18.58         7815        145,202,703         16,802,246     13.09%
BUY     LPB      2024-06-13        21.21         6845        145,182,437                  0      0.00%
SELL    LPB      2024-06-25        22.61         6845        154,765,453          9,583,011      6.60%
BUY     LPB      2024-07-02        23.61         6555        154,763,546                  0      0.00%
SELL    LPB      2024-07-09        25.48         6555        167,021,390         12,257,843      7.92%
BUY     LPB      2024-08-06        22.21         7521        167,041,406                  0      0.00%
SELL    LPB      2024-08-23        25.12         7521        188,927,531         21,886,124     13.10%
BUY     LPB      2024-09-17        24.48         7717        188,912,156                  0      0.00%
SELL    LPB      2024-09-30        25.48         7717        196,629,156          7,717,000      4.08%
BUY     LPB      2024-10-07        25.32         7766        196,635,125                  0      0.00%
SELL    LPB      2024-10-11        26.20         7766        203,469,203          6,834,088      3.48%
BUY     LPB      2024-10-18        25.80         7886        203,458,796                  0      0.00%
SELL    LPB      2024-11-04        25.80         7886        203,458,796                  0      0.00%
BUY     LPB      2024-11-06        25.96         7838        203,474,468                  0      0.00%
SELL    LPB      2024-12-09        27.24         7838        213,507,125         10,032,646      4.93%
BUY     LPB      2024-12-18        26.88         7943        213,507,828                  0      0.00%
SELL    LPB      2025-01-03        28.32         7943        224,945,750         11,437,924      5.36%
BUY     LPB      2025-01-15        28.88         7789        224,946,312                  0      0.00%
SELL    LPB      2025-02-03        32.70         7789        254,700,312         29,753,992     13.23%
BUY     LPB      2025-03-05        33.35         7637        254,693,937                  0      0.00%
SELL    LPB      2025-04-16        30.41         7637        232,241,171        -22,452,770     -8.82%
BUY     LPB      2025-05-07        29.99         7744        232,242,562                  0      0.00%
SELL    LPB      2025-05-19        32.70         7744        253,228,812         20,986,248      9.04%
BUY     LPB      2025-06-02        32.00         7913        253,216,000                  0      0.00%
SELL    LPB      2025-06-20        31.90         7913        252,424,703           -791,303     -0.31%
BUY     LPB      2025-08-05        35.30         7151        252,430,296                  0      0.00%
SELL    LPB      2025-08-15        39.00         7151        278,889,000         26,458,706     10.48%
BUY     LPB      2025-09-11        44.00         6338        278,872,000                  0      0.00%
SELL    LPB      2025-09-29        47.80         6338        302,956,406         24,084,394      8.64%
BUY     LPB      2025-10-22        49.90         6071        302,942,906                  0      0.00%
BUY     LPB      2025-12-12        44.20            1             44,200                  0      0.00%
BUY     MBB      2023-02-15         9.75        10256         99,996,000                  0      0.00%
SELL    MBB      2023-03-16         9.45        10256         96,919,195         -3,076,802     -3.08%
BUY     MBB      2023-04-24         9.89         9800         96,922,000                  0      0.00%
SELL    MBB      2023-05-17         9.99         9800         97,902,000            979,994      1.01%
BUY     MBB      2023-05-29        10.16         9636         97,901,757                  0      0.00%
SELL    MBB      2023-06-08        10.83         9636        104,357,882          6,456,120      6.59%
BUY     MBB      2023-07-07        11.36         9186        104,352,953                  0      0.00%
SELL    MBB      2023-07-18        11.88         9186        109,129,679          4,776,724      4.58%
BUY     MBB      2023-07-31        12.04         9064        109,130,562                  0      0.00%
SELL    MBB      2023-09-11        11.97         9064        108,496,085           -634,477     -0.58%
BUY     MBB      2023-09-27        11.81         9187        108,498,476                  0      0.00%
SELL    MBB      2023-11-10        11.50         9187        105,650,500         -2,847,974     -2.62%
BUY     MBB      2023-11-28        11.40         9267        105,643,796                  0      0.00%
SELL    MBB      2023-12-11        11.59         9267        107,404,531          1,760,735      1.67%
BUY     MBB      2024-02-05        14.66         7327        107,413,820                  0      0.00%
SELL    MBB      2024-02-19        15.30         7327        112,103,101          4,689,282      4.37%
BUY     MBB      2024-03-05        15.71         7135        112,090,851                  0      0.00%
SELL    MBB      2024-03-29        16.22         7135        115,729,695          3,638,844      3.25%
BUY     MBB      2024-04-09        15.33         7550        115,741,500                  0      0.00%
SELL    MBB      2024-05-22        14.82         7550        111,891,000         -3,850,501     -3.33%
BUY     MBB      2024-06-03        14.75         7585        111,878,750                  0      0.00%
SELL    MBB      2024-06-14        15.08         7585        114,381,796          2,503,049      2.24%
BUY     MBB      2024-07-01        14.65         7808        114,387,195                  0      0.00%
SELL    MBB      2024-07-12        15.01         7808        117,198,078          2,810,884      2.46%
BUY     MBB      2024-08-09        15.31         7655        117,198,054                  0      0.00%
SELL    MBB      2024-08-26        15.96         7655        122,173,796          4,975,747      4.25%
BUY     MBB      2024-09-12        15.67         7797        122,178,992                  0      0.00%
SELL    MBB      2024-09-30        16.77         7797        130,755,695          8,576,703      7.02%
BUY     MBB      2024-10-09        16.71         7825        130,755,742                  0      0.00%
SELL    MBB      2024-12-03        15.63         7825        122,304,750         -8,450,992     -6.46%
BUY     MBB      2025-01-13        16.14         7577        122,292,773                  0      0.00%
SELL    MBB      2025-02-03        16.55         7577        125,399,343          3,106,568      2.54%
BUY     MBB      2025-02-24        17.26         7266        125,411,164                  0      0.00%
SELL    MBB      2025-02-27        17.41         7266        126,501,062          1,089,897      0.87%
BUY     MBB      2025-03-04        17.56         7204        126,502,234                  0      0.00%
SELL    MBB      2025-03-12        18.46         7204        132,985,828          6,483,597      5.13%
BUY     MBB      2025-03-20        18.20         7306        132,969,203                  0      0.00%
BUY     MBB      2025-03-31        18.09            1             18,090                  0      0.00%
SELL    MBB      2025-04-29        17.68         7306        129,170,085         -3,799,123     -2.86%
SELL    MBB      2025-05-05        17.68            1             17,680               -409     -2.27%
BUY     MBB      2025-06-03        18.54         6968        129,186,726                  0      0.00%
SELL    MBB      2025-06-25        19.22         6968        133,924,953          4,738,229      3.67%
BUY     MBB      2025-08-04        20.87         6417        133,922,796                  0      0.00%
